gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,HasInternetService,TotalServices,LoyaltyCategory,AvgMonthlyCharges,HadPriceIncrease,HasFamilySupport,IsHighValue,ChargeDifference,TotalChargesCategory,InternetService_DSL,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No,OnlineBackup_No internet service,OnlineBackup_Yes,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,DeviceProtection_No,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_Month-to-month,Contract_One year,Contract_Two year
1,0,0,1,52,1,1,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,1,Mailed check,85.15,4461.85,0,0,5,Long-term,85.8048076923077,0,1,0,-0.6548076923076991,Very High,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1
1,0,0,0,2,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,24.85,62.0,0,1,0,New,31.0,0,0,0,-4.6221089956555,Low,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0
0,0,0,0,5,1,0,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,1,Electronic check,64.35,352.65,0,0,3,New,70.53,0,0,0,-4.6221089956555,Low,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0
0,0,0,0,68,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),20.5,1424.9,0,1,0,Long-term,20.954411764705885,0,0,0,-0.45441176470588474,High,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
0,0,0,1,62,1,1,Fiber optic,No,No,Yes,No,Yes,Yes,One year,1,Electronic check,100.15,6413.65,1,0,3,Long-term,103.44596774193548,0,1,1,-3.2959677419354705,Very High,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0
1,0,0,0,72,1,1,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,0,Credit card (automatic),86.05,6309.65,0,0,5,Long-term,87.63402777777777,0,0,1,-1.5840277777777771,Very High,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1
1,0,0,0,1,1,0,DSL,No,Yes,No,No,No,No,Month-to-month,0,Electronic check,50.8,50.8,1,0,1,New,50.8,0,0,0,0.0,Low,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
0,0,1,0,66,1,1,Fiber optic,Yes,Yes,No,Yes,No,No,One year,0,Electronic check,89.0,5898.6,0,0,3,Long-term,89.37272727272727,0,1,1,-0.3727272727272748,Very High,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0
1,0,1,1,72,0,0,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),64.8,4719.75,0,0,6,Long-term,65.55208333333333,0,1,1,-0.7520833333333314,Very High,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
1,0,0,0,26,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Credit card (automatic),19.8,457.3,0,1,0,Very Loyal,17.588461538461537,1,0,0,2.2115384615384635,Medium,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
1,0,1,1,64,1,1,Fiber optic,Yes,No,Yes,No,No,Yes,Two year,0,Bank transfer (automatic),93.4,5822.3,0,0,3,Long-term,90.9734375,1,1,1,2.426562500000003,Very High,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1
1,1,1,0,20,1,0,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Electronic check,73.65,1463.5,1,0,1,Loyal,73.175,1,1,0,0.4750000000000085,High,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
0,0,0,0,3,1,0,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,1,Electronic check,95.1,307.4,1,0,3,New,102.46666666666665,0,0,0,-4.6221089956555,Low,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0
1,0,0,0,22,1,1,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Credit card (automatic),94.65,2104.55,1,0,2,Loyal,95.66136363636365,0,0,0,-1.0113636363636402,High,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0
1,0,1,0,4,1,0,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,1,Mailed check,80.6,319.15,1,0,2,New,79.7875,1,1,0,0.8125,Low,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0
1,0,1,0,62,0,0,DSL,No,No,No,Yes,Yes,No,Two year,1,Bank transfer (automatic),39.0,2337.45,0,0,2,Long-term,37.7008064516129,1,1,0,1.2991935483871018,High,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1
0,0,0,0,5,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,20.5,104.3,0,1,0,New,20.86,0,0,0,-0.35999999999999943,Low,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0
1,0,1,0,59,1,1,Fiber optic,No,No,No,No,No,Yes,One year,0,Electronic check,85.55,5084.65,1,0,1,Long-term,86.18050847457627,0,1,1,-0.6305084745762741,Very High,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0
1,0,0,1,3,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Mailed check,26.4,121.25,0,1,0,New,40.416666666666664,0,1,0,-4.6221089956555,Low,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
0,0,1,0,72,1,1,Fiber optic,Yes,No,Yes,Yes,Yes,No,Two year,1,Bank transfer (automatic),98.2,7015.9,0,0,4,Long-term,97.44305555555555,1,1,1,0.7569444444444571,Very High,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1
1,0,1,1,57,1,0,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,1,Credit card (automatic),97.55,5598.0,0,0,4,Long-term,98.21052631578948,0,1,1,-0.6605263157894825,Very High,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0
1,0,0,1,66,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),19.95,1269.1,0,1,0,Long-term,19.228787878787877,1,1,0,0.7212121212121225,Medium,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
0,0,0,0,60,0,0,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,1,Electronic check,50.8,3027.4,1,0,3,Long-term,50.45666666666667,1,0,0,0.3433333333333266,High,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0
1,0,0,1,45,1,1,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,0,Bank transfer (automatic),99.7,4634.35,0,0,3,Long-term,102.98555555555556,0,1,1,-3.285555555555561,Very High,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1
0,0,0,0,3,0,0,DSL,No,No,No,No,Yes,No,Month-to-month,1,Credit card (automatic),34.8,113.95,0,0,1,New,37.983333333333334,0,0,0,-3.183333333333337,Low,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0
0,0,0,0,15,1,0,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,0,Electronic check,105.1,1582.75,1,0,5,Loyal,105.51666666666667,0,0,0,-0.4166666666666714,High,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0
0,0,0,1,51,0,0,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,0,Bank transfer (automatic),60.15,3077.0,0,0,5,Long-term,60.333333333333336,0,1,0,-0.18333333333333712,High,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
0,0,0,0,60,1,1,DSL,Yes,No,Yes,Yes,No,No,One year,0,Electronic check,64.75,4039.5,0,0,3,Long-term,67.325,0,0,0,-2.575000000000003,Very High,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0
1,0,0,0,33,1,1,DSL,No,Yes,No,No,No,No,Month-to-month,1,Bank transfer (automatic),54.65,1665.2,0,0,1,Very Loyal,50.46060606060606,1,0,0,4.189393939393938,High,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
1,0,0,0,10,1,0,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,1,Electronic check,110.1,1043.3,1,0,6,New,104.33,1,0,0,4.609705468949651,Medium,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0
1,1,0,0,26,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Credit card (automatic),19.3,504.2,0,1,0,Very Loyal,19.392307692307693,0,0,0,-0.09230769230769198,Medium,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
0,0,0,0,6,1,0,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,0,Electronic check,83.9,497.55,1,0,2,New,82.925,1,0,0,0.9750000000000085,Medium,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0
0,0,1,0,67,1,1,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,One year,1,Electronic check,111.25,7511.65,0,0,5,Long-term,112.1141791044776,0,1,1,-0.8641791044775999,Very High,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
0,0,1,1,49,0,0,DSL,Yes,No,No,Yes,No,No,One year,1,Credit card (automatic),35.8,1782.0,0,0,2,Long-term,36.36734693877551,0,1,0,-0.5673469387755148,High,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0
1,0,0,0,1,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,20.05,20.05,0,1,0,New,20.05,0,0,0,0.0,Low,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0
0,1,0,0,7,1,0,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,1,Electronic check,84.35,609.65,0,0,2,New,87.09285714285714,0,0,0,-2.7428571428571473,Medium,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0
0,1,0,0,27,1,1,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,1,Bank transfer (automatic),110.5,2857.6,0,0,5,Very Loyal,105.83703703703704,1,0,0,4.609705468949651,High,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0
1,0,1,1,37,1,0,Fiber optic,No,No,No,No,Yes,Yes,One year,0,Credit card (automatic),91.2,3247.55,0,0,2,Long-term,87.77162162162162,1,1,0,3.428378378378383,High,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0
0,0,1,1,63,1,1,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,1,Electronic check,100.55,6215.35,1,0,4,Long-term,98.65634920634922,1,1,1,1.893650793650778,Very High,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0
1,0,1,1,31,1,1,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,0,Electronic check,89.3,2823.0,0,0,3,Very Loyal,91.06451612903226,0,1,0,-1.764516129032259,High,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0
1,0,1,1,50,1,1,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Bank transfer (automatic),103.85,5017.9,1,0,4,Long-term,100.35799999999999,1,1,1,3.4920000000000044,Very High,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0
1,1,0,0,32,1,1,Fiber optic,No,No,Yes,No,No,No,Month-to-month,1,Credit card (automatic),81.1,2619.25,0,0,1,Very Loyal,81.8515625,0,0,0,-0.7515625000000057,High,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0
0,0,0,0,1,0,0,DSL,No,No,No,No,No,No,Month-to-month,0,Electronic check,24.6,24.6,1,0,0,New,24.6,0,0,0,0.0,Low,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
0,0,1,0,63,1,1,Fiber optic,No,No,No,Yes,No,No,One year,1,Credit card (automatic),81.2,4965.1,0,0,1,Long-term,78.81111111111112,1,1,1,2.3888888888888857,Very High,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0
1,0,0,0,30,1,1,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,1,Credit card (automatic),94.3,2679.7,0,0,3,Very Loyal,89.32333333333332,1,0,0,4.609705468949651,High,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0
1,0,1,0,71,1,1,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),116.1,8310.55,0,0,6,Long-term,117.04999999999998,0,1,1,-0.9499999999999886,Very High,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
0,0,0,0,53,1,1,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,0,Electronic check,105.55,5682.25,0,0,4,Long-term,107.2122641509434,0,0,1,-1.6622641509434004,Very High,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1
0,0,0,0,12,1,0,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,1,Bank transfer (automatic),98.9,1120.95,1,0,4,New,93.41250000000001,1,0,0,4.609705468949651,Medium,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0
1,0,1,0,50,1,1,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,1,Credit card (automatic),94.4,4914.9,0,0,3,Long-term,98.29799999999999,0,1,1,-3.897999999999982,Very High,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0
0,0,0,0,2,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.5,27.55,0,1,0,New,13.775,1,0,0,4.609705468949651,Low,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0
0,0,0,0,9,1,1,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,0,Credit card (automatic),98.3,923.5,1,0,3,New,102.61111111111111,0,0,0,-4.311111111111117,Medium,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0
1,0,0,0,17,1,0,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,0,Electronic check,93.85,1625.65,1,0,3,Loyal,95.62647058823529,0,0,0,-1.7764705882352985,High,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0
0,0,1,0,56,1,0,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,1,Credit card (automatic),105.6,6068.65,0,0,5,Long-term,108.36874999999999,0,1,1,-2.768749999999997,Very High,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0
1,0,1,1,67,1,0,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,0,Credit card (automatic),81.35,5398.6,0,0,5,Long-term,80.57611940298509,1,1,1,0.7738805970149087,Very High,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1
1,1,0,0,9,1,1,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,100.5,918.6,1,0,3,New,102.06666666666666,0,0,0,-1.5666666666666629,Medium,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0
1,0,0,0,4,1,0,DSL,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,56.4,234.85,0,0,1,New,58.7125,0,0,0,-2.3125,Low,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0
1,0,0,0,19,1,0,DSL,No,Yes,No,Yes,No,Yes,One year,1,Bank transfer (automatic),65.35,1231.85,0,0,3,Loyal,64.83421052631579,1,0,0,0.5157894736842081,Medium,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0
0,0,0,1,8,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.95,170.9,0,1,0,New,21.3625,0,1,0,-1.4125000000000014,Low,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0
0,0,0,0,71,1,1,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,1,Electronic check,111.25,7984.15,0,0,5,Long-term,112.45281690140844,0,0,1,-1.2028169014084398,Very High,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
1,1,0,0,10,1,0,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Electronic check,72.85,688.65,1,0,1,New,68.865,1,0,0,3.9849999999999994,Medium,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
0,1,0,0,15,1,1,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,0,Credit card (automatic),89.0,1288.3,0,0,2,Loyal,85.88666666666667,1,0,0,3.1133333333333297,Medium,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0
1,0,1,1,72,1,1,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,1,Bank transfer (automatic),106.1,7848.5,0,0,4,Long-term,109.00694444444444,0,1,1,-2.9069444444444485,Very High,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0
1,0,0,0,12,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Credit card (automatic),20.05,267.0,0,1,0,New,22.25,0,0,0,-2.1999999999999993,Low,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
1,0,1,1,72,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Bank transfer (automatic),25.2,1798.9,0,1,0,Long-term,24.984722222222224,1,1,0,0.21527777777777501,High,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
1,1,1,0,1,1,1,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,73.55,73.55,1,0,0,New,73.55,0,1,0,0.0,Low,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
0,1,0,0,23,1,0,Fiber optic,Yes,No,No,No,No,No,Month-to-month,1,Bank transfer (automatic),75.4,1643.55,0,0,1,Loyal,71.45869565217392,1,0,0,3.9413043478260903,High,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
1,0,0,0,72,0,0,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),65.55,4807.45,0,0,6,Long-term,66.77013888888888,0,0,1,-1.2201388888888829,Very High,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
0,0,0,0,26,1,1,Fiber optic,No,No,Yes,No,No,No,Month-to-month,1,Electronic check,80.7,2193.0,0,0,1,Very Loyal,84.34615384615384,0,0,0,-3.6461538461538368,High,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0
0,0,0,0,21,1,0,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,1,Mailed check,104.55,2239.4,0,0,5,Loyal,106.63809523809525,0,0,0,-2.0880952380952493,High,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
1,0,1,0,60,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Bank transfer (automatic),24.15,1505.9,0,1,0,Long-term,25.098333333333336,0,1,0,-0.9483333333333377,High,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
1,0,0,0,12,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.45,255.35,0,1,0,New,21.279166666666665,0,0,0,-0.8291666666666657,Low,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0
1,0,1,0,16,1,1,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,75.4,1189.4,0,0,0,Loyal,74.3375,1,1,0,1.0625,Medium,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
0,0,1,0,63,1,1,DSL,Yes,Yes,No,No,Yes,Yes,One year,1,Credit card (automatic),79.7,4786.15,0,0,4,Long-term,75.97063492063492,1,1,1,3.729365079365081,Very High,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0
0,1,0,0,22,1,0,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,0,Electronic check,81.7,1820.9,0,0,2,Loyal,82.76818181818182,0,0,0,-1.068181818181813,High,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
0,0,1,1,32,1,0,DSL,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,0,Bank transfer (automatic),76.3,2404.15,0,0,5,Very Loyal,75.1296875,1,1,0,1.1703124999999943,High,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0
0,1,0,0,3,1,1,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Electronic check,79.4,205.05,1,0,1,New,68.35000000000001,1,0,0,4.609705468949651,Low,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
0,0,0,0,13,1,0,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,1,Electronic check,81.15,952.3,1,0,2,Loyal,73.25384615384615,1,0,0,4.609705468949651,Medium,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0
0,0,1,1,68,1,1,Fiber optic,No,Yes,No,Yes,Yes,Yes,Two year,1,Credit card (automatic),103.75,7039.45,0,0,4,Long-term,103.52132352941176,1,1,1,0.22867647058824048,Very High,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1
0,0,1,1,30,1,0,Fiber optic,No,No,Yes,No,No,Yes,One year,0,Electronic check,86.45,2538.05,0,0,2,Very Loyal,84.60166666666667,1,1,0,1.8483333333333292,High,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0
0,0,0,0,16,1,0,Fiber optic,No,Yes,No,No,No,No,Month-to-month,0,Bank transfer (automatic),75.1,1212.85,0,0,1,Loyal,75.803125,0,0,0,-0.703125,Medium,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
1,0,0,0,33,1,0,Fiber optic,No,Yes,No,Yes,No,No,Two year,0,Bank transfer (automatic),80.6,2651.1,0,0,2,Very Loyal,80.33636363636363,1,0,0,0.26363636363636545,High,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1
1,0,1,0,72,1,0,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),19.3,1304.8,0,1,0,Long-term,18.12222222222222,1,1,0,1.1777777777777807,Medium,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
0,1,0,0,4,1,1,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,84.6,360.1,1,0,1,New,90.025,0,0,0,-4.6221089956555,Low,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0
0,0,0,0,12,0,0,DSL,Yes,No,No,Yes,No,No,One year,1,Mailed check,33.6,435.45,0,0,2,New,36.2875,0,0,0,-2.6875,Medium,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0
0,1,1,0,4,1,1,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,83.25,308.05,0,0,1,New,77.0125,1,1,0,4.609705468949651,Low,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0
0,0,0,0,6,1,1,Fiber optic,Yes,No,No,No,No,No,Month-to-month,1,Electronic check,79.05,434.5,1,0,1,New,72.41666666666667,1,0,0,4.609705468949651,Medium,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
0,0,1,0,65,1,1,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,1,Credit card (automatic),108.05,7118.9,0,0,5,Long-term,109.52153846153846,0,1,1,-1.471538461538458,Very High,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
